epoch	accuracy	F1_score	Confussion
1	0.9853826311263972	0.9853338593443731	"[[391   0   0]
 [  4 389   1]
 [  3   9 366]]"
2	0.9802235597592434	0.9801327023838038	"[[391   0   0]
 [  4 380  10]
 [  2   7 369]]"
3	0.9879621668099742	0.9879235460328974	"[[391   0   0]
 [  3 389   2]
 [  2   7 369]]"
4	0.9810834049871023	0.9809909320433601	"[[391   0   0]
 [  3 380  11]
 [  2   6 370]]"
5	0.9836629406706793	0.9835949530810009	"[[391   0   0]
 [  3 382   9]
 [  1   6 371]]"
6	0.9888220120378332	0.9887959115749241	"[[391   0   0]
 [  3 389   2]
 [  1   7 370]]"
7	0.9896818572656921	0.9896461876936483	"[[391   0   0]
 [  2 390   2]
 [  1   7 370]]"
8	0.9871023215821152	0.9870492436377721	"[[391   0   0]
 [  2 384   8]
 [  1   4 373]]"
9	0.9853826311263972	0.9853181867278261	"[[391   0   0]
 [  2 385   7]
 [  1   7 370]]"
10	0.9888220120378332	0.9887801934888071	"[[391   0   0]
 [  2 390   2]
 [  1   8 369]]"
11	0.9871023215821152	0.9870368131092997	"[[391   0   0]
 [  1 388   5]
 [  1   8 369]]"
12	0.9871023215821152	0.9870577655064369	"[[391   0   0]
 [  2 387   5]
 [  0   8 370]]"
13	0.9871023215821152	0.9870577655064369	"[[391   0   0]
 [  2 387   5]
 [  0   8 370]]"
14	0.9896818572656921	0.9896547103689962	"[[391   0   0]
 [  2 390   2]
 [  0   8 370]]"
15	0.9905417024935511	0.990506050977127	"[[391   0   0]
 [  1 391   2]
 [  0   8 370]]"
16	0.9879621668099742	0.9879123551920216	"[[391   0   0]
 [  1 388   5]
 [  0   8 370]]"
17	0.9879621668099742	0.9879123551920216	"[[391   0   0]
 [  1 388   5]
 [  0   8 370]]"
18	0.9879621668099742	0.9879123551920216	"[[391   0   0]
 [  1 388   5]
 [  0   8 370]]"
19	0.9888220120378332	0.9887770629434018	"[[391   0   0]
 [  1 388   5]
 [  0   7 371]]"
20	0.9914015477214101	0.9913708589535456	"[[391   0   0]
 [  1 391   2]
 [  0   7 371]]"
21	0.9888220120378332	0.9887770629434018	"[[391   0   0]
 [  1 388   5]
 [  0   7 371]]"
22	0.9888220120378332	0.9887770629434018	"[[391   0   0]
 [  1 388   5]
 [  0   7 371]]"
23	0.9879621668099742	0.9879123551920216	"[[391   0   0]
 [  1 388   5]
 [  0   8 370]]"
24	0.9888220120378332	0.9887770629434018	"[[391   0   0]
 [  1 388   5]
 [  0   7 371]]"
25	0.9888220120378332	0.9887770629434018	"[[391   0   0]
 [  1 388   5]
 [  0   7 371]]"
26	0.9888220120378332	0.9887770629434018	"[[391   0   0]
 [  1 388   5]
 [  0   7 371]]"
27	0.9888220120378332	0.9887771401741228	"[[391   0   0]
 [  1 387   6]
 [  0   6 372]]"
28	0.9896818572656921	0.9896416326573486	"[[391   0   0]
 [  1 388   5]
 [  0   6 372]]"
29	0.9922613929492692	0.9922355201303469	"[[391   0   0]
 [  1 391   2]
 [  0   6 372]]"
30	0.9871023215821152	0.9870483078483216	"[[391   0   0]
 [  1 385   8]
 [  0   6 372]]"
31	0.9896818572656921	0.9896416326573486	"[[391   0   0]
 [  1 388   5]
 [  0   6 372]]"
32	0.9922613929492692	0.9922355201303469	"[[391   0   0]
 [  1 391   2]
 [  0   6 372]]"
33	0.9896818572656921	0.9896416326573486	"[[391   0   0]
 [  1 388   5]
 [  0   6 372]]"
34	0.9879621668099742	0.9879127014793555	"[[391   0   0]
 [  1 386   7]
 [  0   6 372]]"
35	0.9922613929492692	0.9922355201303469	"[[391   0   0]
 [  1 391   2]
 [  0   6 372]]"
36	0.9853826311263972	0.9853195066782683	"[[391   0   0]
 [  1 382  11]
 [  0   5 373]]"
37	0.9896818572656921	0.9896416326573486	"[[391   0   0]
 [  1 388   5]
 [  0   6 372]]"
38	0.9879621668099742	0.9879127014793555	"[[391   0   0]
 [  1 386   7]
 [  0   6 372]]"
39	0.9896818572656921	0.9896416326573486	"[[391   0   0]
 [  1 388   5]
 [  0   6 372]]"
40	0.9853826311263972	0.9853195066782683	"[[391   0   0]
 [  1 382  11]
 [  0   5 373]]"
